,name,rating,highlyRatedFor,badlyRatedFor,Industry,Location
185,Square Yards,4.1,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",NaN,Real Estate ,Gurgaon / Gurugram 
186,American Express,4.2,"Company Culture, Work Life Balance, Job Security",NaN,Financial Services ,New York City 
187,Subros,3.9,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal",Auto Components ,Noida 
188,Pidilite Industries,4.3,"Job Security, Company Culture, Work Life Balance",NaN,Chemicals ,Mumbai 
189,Whitehat jr,3.5,NaN,"Job Security, Promotions / Appraisal, Work Satisfaction",EdTech ,Mumbai 
190,Indian Oil Corporation,4.4,"Company Culture, Work Life Balance, Skill Development / Learning",NaN,Oil & Gas ,Delhi/NCR 
191,Utkarsh Small Finance Bank,3.9,NaN,NaN,Banking ,Varanasi 
192,Automatic Data Processing (ADP),4.1,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal,Software Product ,New Jersey 
193,Bharat Electronics,4.2,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal,Electronics Manufacturing ,Bangalore/Bengaluru 
194,DCB Bank,3.8,Work Life Balance,NaN,Banking ,Mumbai 
195,Sodexo,4.1,"Work Life Balance, Company Culture, Skill Development / Learning",NaN,Facility Management Services ,Issy les Moulineaux 
196,Alembic Pharmaceuticals,4.0,"Salary & Benefits, Work Life Balance",NaN,Pharma ,Vadodara/Baroda 
197,Berger Paints,3.7,NaN,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",Chemicals ,Kolkata 
198,Barclays,4.0,"Job Security, Salary & Benefits, Company Culture",Promotions / Appraisal,Banking ,London 
199,PolicyBazaar,3.4,NaN,"Work Life Balance, Company Culture, Work Satisfaction",Internet ,Gurgaon 
